City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Barrow,US,71.2906,-156.7887,-11.18,77,20,13.8,few clouds
184,Georgetown,MY,5.4112,100.3354,80.89,79,40,1.01,scattered clouds
185,Puerto Ayacucho,VE,5.6639,-67.6236,89.38,55,96,12.48,overcast clouds
186,Havoysund,NO,70.9963,24.6622,31.08,98,100,13.24,light snow
187,Ilovlya,RU,49.3033,43.9796,22.3,62,77,12.3,broken clouds
188,Cherskiy,RU,68.75,161.3,-42.3,100,47,2.42,scattered clouds
189,Vila Velha,BR,-20.3297,-40.2925,84.15,83,0,14.0,clear sky
190,Isangel,VU,-19.55,169.2667,80.71,89,90,0.0,light rain
191,Nadvoitsy,RU,63.8667,34.3167,17.55,96,100,6.58,light snow
192,Riyadh,SA,24.6877,46.7219,57.34,27,26,6.67,scattered clouds
193,Wonthaggi,AU,-38.6044,145.5913,59.72,80,0,10.6,clear sky
194,Pitimbu,BR,-7.4706,-34.8086,86.59,73,4,11.65,clear sky
195,Swan Hill,AU,-35.3378,143.5544,69.24,38,1,8.12,clear sky
196,Biak,ID,-0.9131,122.8766,77.27,83,99,3.18,overcast clouds
197,Tabou,CI,4.423,-7.3528,80.19,82,14,7.54,few clouds
198,Chapais,CA,49.7834,-74.8492,22.78,95,100,9.62,light snow
199,Boyolangu,ID,-8.1181,111.8935,76.35,90,95,3.85,overcast clouds
200,Lebu,CL,-37.6167,-73.65,58.08,59,1,9.37,clear sky
201,Segezha,RU,63.7415,34.3222,17.51,95,100,6.87,light snow
202,Huilong,CN,31.8111,121.655,46.04,62,5,11.56,clear sky
203,Baruun-Urt,MN,46.6806,113.2792,13.19,59,5,22.66,clear sky
204,Inongo,CD,-1.95,18.2667,70.79,92,100,1.99,overcast clouds
205,Nouakchott,MR,18.0858,-15.9785,84.13,27,56,11.59,broken clouds
206,Canutama,BR,-6.5339,-64.3831,85.75,63,90,5.75,light rain
207,Shilovo,RU,54.3204,40.874,23.38,85,20,9.24,few clouds
208,Ketchikan,US,55.3422,-131.6461,36.07,55,20,11.5,few clouds
209,Pontes E Lacerda,BR,-15.2261,-59.3353,82.26,77,99,5.5,light rain
210,Ostrovnoy,RU,68.0531,39.5131,30.61,90,100,18.37,overcast clouds
211,Hervey Bay,AU,-25.2986,152.8535,72.03,87,72,1.01,broken clouds
212,Ilulissat,GL,69.2167,-51.1,17.62,73,90,5.75,overcast clouds
213,Gari,RU,59.4307,62.3497,13.12,79,21,7.76,few clouds
214,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.31,83,100,3.13,moderate rain
215,Karratha,AU,-20.7377,116.8463,87.22,23,0,11.77,clear sky
216,Aykhal,RU,66.0,111.5,-43.89,100,100,6.62,overcast clouds
217,Tatawin,TN,32.9297,10.4518,52.68,59,14,2.37,few clouds
218,Eugene,US,44.0521,-123.0867,46.81,90,75,1.99,broken clouds
219,Kambove,CD,-10.8764,26.5969,69.08,60,94,1.48,overcast clouds
220,Churapcha,RU,62.0025,132.4325,-32.51,99,99,3.94,overcast clouds
221,Kintampo,GH,8.0563,-1.7306,82.94,26,100,2.57,overcast clouds
222,Chuy,UY,-33.6971,-53.4616,76.33,61,0,14.99,clear sky
223,Dongsheng,CN,39.8161,109.9776,18.01,66,0,9.78,clear sky
224,Saint Anthony,US,45.0205,-93.218,38.35,57,1,3.0,clear sky
225,Jilin,CN,43.0,126.0,1.76,95,5,3.94,clear sky
226,Poum,NC,-20.2333,164.0167,77.67,89,100,13.91,overcast clouds
227,Mujiayingzi,CN,42.1167,118.7833,15.82,40,0,8.1,clear sky
228,Kanniyakumari,IN,8.0833,77.5667,78.28,82,99,21.27,overcast clouds
229,Chimbote,PE,-9.0853,-78.5783,71.6,72,52,11.77,broken clouds
230,Bhongaon,IN,27.25,79.1833,57.47,47,5,2.55,clear sky
231,Batemans Bay,AU,-35.7167,150.1833,57.99,83,5,2.64,clear sky
232,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.98,73,16,10.49,few clouds
233,Namibe,AO,-15.1961,12.1522,70.74,79,44,2.71,scattered clouds
234,Scarborough,GB,54.2797,-0.4044,54.09,90,92,7.0,overcast clouds
235,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,69,75,17.27,broken clouds
236,Yambio,SS,4.5721,28.3955,75.96,32,100,2.42,overcast clouds
237,Maracanau,BR,-3.8767,-38.6256,83.86,65,20,16.11,few clouds
238,Jiujiang,CN,29.7333,115.9833,50.67,67,100,11.79,overcast clouds
239,Luderitz,NA,-26.6481,15.1594,62.94,84,3,14.0,clear sky
240,Parrita,CR,9.5201,-84.3225,92.98,69,13,6.46,few clouds
241,Clarence Town,AU,-32.5833,151.7833,64.81,82,80,2.64,broken clouds
242,Prince Rupert,CA,54.3161,-130.3201,37.09,64,1,5.75,clear sky
243,Marawi,PH,7.9986,124.2928,67.64,95,99,2.3,overcast clouds
244,Dzhebariki-Khaya,RU,62.2167,135.8,-40.09,99,56,2.91,broken clouds
245,Trinidad,BO,-14.8333,-64.9,84.18,89,20,17.27,few clouds
246,Bogorodskoye,RU,56.55,37.8833,24.1,94,100,10.29,overcast clouds
247,Mitsamiouli,KM,-11.3847,43.2844,80.53,74,100,11.23,overcast clouds
248,Katobu,ID,-4.9408,122.5276,76.55,93,100,3.22,overcast clouds
249,Hay River,CA,60.8156,-115.7999,-2.22,71,40,11.5,scattered clouds
250,Saskylakh,RU,71.9167,114.0833,-44.93,100,68,2.84,broken clouds
251,Tromso,NO,69.6496,18.957,32.38,86,75,1.01,light snow
252,Piacabucu,BR,-10.4056,-36.4344,82.13,67,32,12.46,scattered clouds
253,Teknaf,BD,20.8624,92.3058,66.7,64,7,10.96,clear sky
254,Aklavik,CA,68.2191,-135.0107,-1.37,90,100,22.21,overcast clouds
255,Kudahuvadhoo,MV,2.6708,72.8944,81.32,74,100,9.8,overcast clouds
256,Cabo San Lucas,MX,22.8909,-109.9124,80.51,66,20,3.0,few clouds
257,Eenhana,NA,-17.4667,16.3333,71.64,70,93,5.44,light rain
258,Sisimiut,GL,66.9395,-53.6735,16.25,89,84,8.57,broken clouds
259,Shimoda,JP,34.6667,138.95,53.1,60,1,26.46,clear sky
260,Nyurba,RU,63.2842,118.3319,-24.21,96,100,6.71,overcast clouds
261,Juegang,CN,32.3174,121.1855,39.9,63,3,10.18,clear sky
262,Alexandria,EG,31.2156,29.9553,65.71,62,100,5.77,overcast clouds
263,Kavieng,PG,-2.5744,150.7967,83.12,77,100,6.02,overcast clouds
264,Port Macquarie,AU,-31.4333,152.9167,63.9,80,1,9.19,clear sky
265,Monte Escobedo,MX,22.3,-103.5833,68.13,21,96,7.29,overcast clouds
266,Nemuro,JP,43.3236,145.575,36.97,69,8,27.92,clear sky
267,Bilma,NE,18.6853,12.9164,68.13,11,19,8.9,few clouds
268,Okahandja,NA,-21.9833,16.9167,82.71,18,46,8.46,scattered clouds
269,Bentiu,SS,9.2333,29.8333,80.26,24,58,5.48,broken clouds
270,Biltine,TD,14.5333,20.9167,77.76,12,4,7.47,clear sky
271,Horsham,GB,51.064,-0.3272,53.58,90,75,9.22,broken clouds
